noted_date,temp,humidity
2025-11-24 14:21:02,20.16,55.93
2025-11-24 14:22:02,19.93,54.47
2025-11-24 14:23:02,18.67,52.54
2025-11-24 14:24:02,21.49,53.09
2025-11-24 14:25:02,20.23,56.29
2025-11-24 14:26:02,21.4,54.07
2025-11-24 14:27:02,21.15,58.11
2025-11-24 14:28:02,18.86,57.32
2025-11-24 14:29:02,19.15,54.12
2025-11-24 14:30:02,19.0,59.7
2025-11-24 14:31:02,20.0,58.96
2025-11-24 14:32:02,20.5,52.29
2025-11-24 14:33:02,18.53,55.07
2025-11-24 14:34:02,19.37,58.05
2025-11-24 14:35:02,18.75,58.25
2025-11-24 14:36:02,19.1,57.69
2025-11-24 14:37:02,18.83,59.79
2025-11-24 14:38:02,20.3,50.78
2025-11-24 14:39:02,19.18,54.4
2025-11-24 14:40:02,19.04,50.15
2025-11-24 14:41:02,19.18,50.71
2025-11-24 14:42:02,21.16,53.25
2025-11-24 14:43:02,19.23,52.82
2025-11-24 14:44:02,19.91,54.1
2025-11-24 14:45:02,21.14,57.65
2025-11-24 14:46:02,19.51,51.94
2025-11-24 14:47:02,20.81,52.59
2025-11-24 14:48:02,20.14,56.54
2025-11-24 14:49:02,20.55,54.34
2025-11-24 14:50:02,20.53,53.28
2025-11-24 14:51:02,19.0,58.08
2025-11-24 14:52:02,21.29,53.26
2025-11-24 14:53:02,18.57,52.94
2025-11-24 14:54:02,19.73,56.6
2025-11-24 14:55:02,19.37,55.21
2025-11-24 14:56:02,19.27,57.04
2025-11-24 14:57:02,20.52,52.75
2025-11-24 14:58:02,20.81,56.48
2025-11-24 14:59:02,18.77,59.43
2025-11-24 15:00:02,19.77,51.36
2025-11-24 15:01:02,20.51,58.38
2025-11-24 15:02:02,19.82,54.09
2025-11-24 15:03:02,21.07,59.64
2025-11-24 15:04:02,21.14,56.01
2025-11-24 15:05:02,18.97,57.32
2025-11-24 15:06:02,18.65,53.84
2025-11-24 15:07:02,19.41,50.77
2025-11-24 15:08:02,19.81,59.64
2025-11-24 15:09:02,20.3,56.53
2025-11-24 15:10:02,20.34,59.18
2025-11-24 15:11:02,19.59,50.62
2025-11-24 15:12:02,21.06,59.47
2025-11-24 15:13:02,18.71,53.4
2025-11-24 15:14:02,19.85,57.02
2025-11-24 15:15:02,20.19,54.56
2025-11-24 15:16:02,20.55,52.86
2025-11-24 15:17:02,19.88,57.69
2025-11-24 15:18:02,20.81,54.04
2025-11-24 15:19:02,21.05,56.7
2025-11-24 15:20:02,19.82,50.33
2025-11-24 15:21:02,19.75,52.1
2025-11-24 15:22:02,20.83,50.07
2025-11-24 15:23:02,21.25,52.09
2025-11-24 15:24:02,19.03,58.31
2025-11-24 15:25:02,19.44,55.13
2025-11-24 15:26:02,18.91,50.66
2025-11-24 15:27:02,21.46,55.03
2025-11-24 15:28:02,19.58,53.71
2025-11-24 15:29:02,19.91,51.55
2025-11-24 15:30:02,18.93,50.04
2025-11-24 15:31:02,19.77,52.61
2025-11-24 15:32:02,21.38,55.34
2025-11-24 15:33:02,18.52,53.22
2025-11-24 15:34:02,19.67,56.4
2025-11-24 15:35:02,20.17,54.78
2025-11-24 15:36:02,19.47,56.77
2025-11-24 15:37:02,18.83,50.77
2025-11-24 15:38:02,18.69,50.08
2025-11-24 15:39:02,20.7,58.04
2025-11-24 15:40:02,20.39,53.77
2025-11-24 15:41:02,19.04,52.36
2025-11-24 15:42:02,19.87,57.35
2025-11-24 15:43:02,19.53,53.85
2025-11-24 15:44:02,19.7,58.39
2025-11-24 15:45:02,21.23,52.13
2025-11-24 15:46:02,21.15,52.39
2025-11-24 15:47:02,19.16,58.67
2025-11-24 15:48:02,20.3,51.93
2025-11-24 15:49:02,18.96,58.17
2025-11-24 15:50:02,19.41,51.1
2025-11-24 15:51:02,19.32,52.4
2025-11-24 15:52:02,19.66,58.67
2025-11-24 15:53:02,21.04,57.57
2025-11-24 15:54:02,19.27,58.12
2025-11-24 15:55:02,21.03,55.62
2025-11-24 15:56:02,19.53,53.72
2025-11-24 15:57:02,21.07,52.48
2025-11-24 15:58:02,19.16,50.67
2025-11-24 15:59:02,21.39,57.77
2025-11-24 16:00:02,21.03,59.47
2025-11-24 16:01:02,18.62,58.3
2025-11-24 16:02:02,20.71,54.24
2025-11-24 16:03:02,20.31,58.99
2025-11-24 16:04:02,21.46,55.85
2025-11-24 16:05:02,19.95,57.91
2025-11-24 16:06:02,19.9,58.51
2025-11-24 16:07:02,19.38,54.82
2025-11-24 16:08:02,19.42,57.57
2025-11-24 16:09:02,19.67,58.47
2025-11-24 16:10:02,19.77,54.48
2025-11-24 16:11:02,20.54,54.35
2025-11-24 16:12:02,19.21,52.49
2025-11-24 16:13:02,21.3,59.97
2025-11-24 16:14:02,19.09,51.04
2025-11-24 16:15:02,21.26,56.83
2025-11-24 16:16:02,20.09,58.12
2025-11-24 16:17:02,20.46,58.26
2025-11-24 16:18:02,21.36,52.01
2025-11-24 16:19:02,19.56,55.1
2025-11-24 16:20:02,20.41,50.78
